Reference,Quantity,Value,Footprint,Manufacturer,Part Number,Description,Supplier,Supplier Part,Unit Price (USD),Total Price (USD)
U1,1,MCP73831T-2ACI/OT,SOT-23-5,Microchip,MCP73831T-2ACI/OT,Li-Po Battery Charge Controller,Digikey,MCP73831T-2ACI/OTCT-ND,0.58,0.58
U2,1,MCP1700-3302E/TO,SOT-23,Microchip,MCP1700-3302E/TO,3.3V 250mA LDO Regulator,Digikey,MCP1700-3302E/TO-ND,0.48,0.48
U3,1,nRF52832-QFAA-R,QFN-48,Nordic Semi,nRF52832-QFAA-R,BLE 5.0 SoC 512KB Flash,Digikey,1490-1073-1-ND,4.25,4.25
U4,1,MCP6004-I/ST,SOIC-14,Microchip,MCP6004-I/ST,Quad Op-Amp Rail-to-Rail,Digikey,MCP6004-I/ST-ND,0.89,0.89
U5,1,LM35DZ/NOPB,SOT-23,Texas Instruments,LM35DZ/NOPB,Precision Temperature Sensor,Digikey,LM35DZ/NOPB-ND,2.18,2.18
Y1,1,ABM3-32.000MHZ-B2-T,SMD-3225,Abracon,ABM3-32.000MHZ-B2-T,32MHz Crystal ±10ppm,Digikey,535-9122-1-ND,0.49,0.49
Y2,1,ABS07-32.768KHZ-T,SMD-3215,Abracon,ABS07-32.768KHZ-T,32.768kHz Crystal ±20ppm,Digikey,535-9166-1-ND,0.35,0.35
J1,1,USB4110-GF-A,USB-C-16P,GCT,USB4110-GF-A,USB Type-C Receptacle,Digikey,2073-USB4110-GF-ACT-ND,0.68,0.68
J2,1,M20-9770546,1.27mm-5P,Harwin,M20-9770546,SWD Programming Header 1.27mm,Digikey,952-3235-ND,1.12,1.12
J3,1,S2B-PH-K-S,PH-2P,JST,S2B-PH-K-S,Battery Connector 2-Pin,Digikey,455-1719-ND,0.11,0.11
D1,1,LTST-C19HE1WT,LED-RGB-1210,Lite-On,LTST-C19HE1WT,RGB LED Common Anode,Digikey,160-2162-1-ND,0.42,0.42
